subject	subject_label	object	object_label	ordo_id	ordo_id_label	preferred_object	preferred_object_label	preferred_edge_source	preferred_edge_source_label
MONDO:0000107	auriculocondylar syndrome	MONDO:0015397	oculo-auriculo-vertebral spectrum	Orphanet:137888	None	MONDO:0007500	ear malformation	MONDO:cjm	None
MONDO:0000136	keratosis follicularis spinulosa decalvans	MONDO:0018855	keratosis pilaris atrophicans	Orphanet:2340	None	MONDO:0800159	disorder of polyamine metabolism	PMID:33340416	None
MONDO:0000170	microphthalmia, isolated, with coloboma	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome	Orphanet:98938	None	MONDO:0000062	isolated microphthalmia	MONDO:Redundant	None
MONDO:0000170	microphthalmia, isolated, with coloboma	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome	Orphanet:98938	None	MONDO:0000062	isolated microphthalmia	MONDO:cjm	None
MONDO:0000170	microphthalmia, isolated, with coloboma	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome	Orphanet:98938	None	MONDO:0001476	coloboma	MESH:C537463	None
MONDO:0000170	microphthalmia, isolated, with coloboma	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome	Orphanet:98938	None	MONDO:0001476	coloboma	MONDO:Redundant	None
MONDO:0000193	cortisone reductase deficiency	MONDO:0015898	adrenogenital syndrome	Orphanet:168588	None	MONDO:0016072	anomaly of puberty or/and menstrual cycle of genetic origin	MONDO:Redundant	None
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	MONDO:0016112	hereditary inclusion-body myopathy	Orphanet:52430	None	MONDO:0002254	syndromic disease	DOID:0050881	None
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	MONDO:0020099	inherited sideroblastic anemia	Orphanet:2598	None	MONDO:0009637	inborn mitochondrial myopathy	MESH:C536101/inferred	None
MONDO:0001347	facioscapulohumeral muscular dystrophy	MONDO:0016106	progressive muscular dystrophy	Orphanet:269	None	MONDO:0100137	telomere syndrome	PMID:29804726	None
MONDO:0001707	cardiac sarcoidosis	MONDO:0016345	non-familial restrictive cardiomyopathy	Orphanet:797-moved	None	MONDO:0019338	sarcoidosis	DOID:13405	None
MONDO:0001707	cardiac sarcoidosis	MONDO:0016345	non-familial restrictive cardiomyopathy	Orphanet:797-moved	None	MONDO:0019338	sarcoidosis	MONDO:Redundant	None
MONDO:0001707	cardiac sarcoidosis	MONDO:0016345	non-familial restrictive cardiomyopathy	Orphanet:797-moved	None	MONDO:0019338	sarcoidosis	NCIT:C35589	None
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0021054	bone sarcoma	Orphanet:2023	None	MONDO:0005509	histiocytoma	DOID:1907	None
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0021054	bone sarcoma	Orphanet:2023	None	MONDO:0005509	histiocytoma	MESH:D051677	None
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0021054	bone sarcoma	Orphanet:2023	None	MONDO:0018078	soft tissue sarcoma	EFO:1001972	None
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0021054	bone sarcoma	Orphanet:2023	None	MONDO:0018078	soft tissue sarcoma	NCIT:C114541/inferred	None
MONDO:0002142	undifferentiated pleomorphic sarcoma	MONDO:0021054	bone sarcoma	Orphanet:2023	None	MONDO:0018078	soft tissue sarcoma	NCIT:C4247/inferred	None
MONDO:0002145	disorder of sexual differentiation	MONDO:0019755	developmental defect during embryogenesis	Orphanet:90771	None	MONDO:0002259	gonadal disorder	DOID:1923	None
MONDO:0002145	disorder of sexual differentiation	MONDO:0019755	developmental defect during embryogenesis	Orphanet:90771	None	MONDO:0002259	gonadal disorder	MESH:D012734	None
MONDO:0002457	Treacher-Collins syndrome	MONDO:0015483	mandibulofacial dysostosis	Orphanet:861	None	MONDO:0000426	autosomal dominant disease	DOID:2908	None
MONDO:0002457	Treacher-Collins syndrome	MONDO:0015483	mandibulofacial dysostosis	Orphanet:861	None	MONDO:0000426	autosomal dominant disease	MONDO:Redundant	None
MONDO:0002457	Treacher-Collins syndrome	MONDO:0015483	mandibulofacial dysostosis	Orphanet:861	None	MONDO:0002254	syndromic disease	MONDO:Redundant	None
MONDO:0002457	Treacher-Collins syndrome	MONDO:0015483	mandibulofacial dysostosis	Orphanet:861	None	MONDO:0002254	syndromic disease	NCIT:C75018	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0002714	central nervous system cancer	DOID:3234/inferred	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0002714	central nervous system cancer	MONDO:Redundant	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0002714	central nervous system cancer	NCIT:C9301	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0003641	central nervous system hematopoietic neoplasm	DOID:3234	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0003641	central nervous system hematopoietic neoplasm	MONDO:Redundant	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0003641	central nervous system hematopoietic neoplasm	NCIT:C9301	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:46135	None	MONDO:0004949	neoplasm of mature B-cells	ONCOTREE:PCNSL	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0002714	central nervous system cancer	DOID:3234/inferred	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0002714	central nervous system cancer	MONDO:Redundant	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0002714	central nervous system cancer	NCIT:C9301	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0003641	central nervous system hematopoietic neoplasm	DOID:3234	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0003641	central nervous system hematopoietic neoplasm	MONDO:Redundant	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0003641	central nervous system hematopoietic neoplasm	NCIT:C9301	None
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:46135	None	MONDO:0004949	neoplasm of mature B-cells	ONCOTREE:PCNSL	None
MONDO:0002718	central nervous system teratoma	MONDO:0019500	extragonadal teratoma	Orphanet:252018	None	MONDO:0002601	teratoma	DOID:3640	None
MONDO:0002718	central nervous system teratoma	MONDO:0019500	extragonadal teratoma	Orphanet:252018	None	MONDO:0002601	teratoma	MONDO:Redundant	None
MONDO:0002718	central nervous system teratoma	MONDO:0019500	extragonadal teratoma	Orphanet:252018	None	MONDO:0002601	teratoma	NCIT:C5441	None
MONDO:0002728	rhabdoid tumor	MONDO:0018078	soft tissue sarcoma	Orphanet:69077	None	MONDO:0005564	embryonal neoplasm	EFO:0005701	None
MONDO:0002728	rhabdoid tumor	MONDO:0018078	soft tissue sarcoma	Orphanet:69077	None	MONDO:0005564	embryonal neoplasm	NCIT:C3808	None
MONDO:0002876	cervical adenosarcoma	MONDO:0016277	malignant mixed epithelial and mesenchymal tumor of cervix uteri	Orphanet:213792	None	MONDO:0005636	adenosarcoma	MONDO:Redundant	None
MONDO:0002876	cervical adenosarcoma	MONDO:0016277	malignant mixed epithelial and mesenchymal tumor of cervix uteri	Orphanet:213792	None	MONDO:0005636	adenosarcoma	NCIT:C40229	None
MONDO:0002877	cervical carcinosarcoma	MONDO:0016277	malignant mixed epithelial and mesenchymal tumor of cervix uteri	Orphanet:213787	None	MONDO:0006485	uterine carcinosarcoma	MONDO:Redundant	None
MONDO:0002877	cervical carcinosarcoma	MONDO:0016277	malignant mixed epithelial and mesenchymal tumor of cervix uteri	Orphanet:213787	None	MONDO:0006485	uterine carcinosarcoma	NCIT:C36097	None
MONDO:0003646	rectum neuroendocrine neoplasm	MONDO:0024476	epithelial neoplasm of rectum	Orphanet:100081	None	MONDO:0002883	intestinal neuroendocrine neoplasm	DOID:5777	None
MONDO:0003646	rectum neuroendocrine neoplasm	MONDO:0024476	epithelial neoplasm of rectum	Orphanet:100081	None	MONDO:0002883	intestinal neuroendocrine neoplasm	MONDO:Redundant	None
MONDO:0003646	rectum neuroendocrine neoplasm	MONDO:0024476	epithelial neoplasm of rectum	Orphanet:100081	None	MONDO:0002883	intestinal neuroendocrine neoplasm	NCIT:C5698/inferred	None
MONDO:0004187	nodular fasciitis	MONDO:0006424	soft tissue neoplasm	Orphanet:477742	None	MONDO:0004830	fasciitis	DOID:7327	None
MONDO:0004187	nodular fasciitis	MONDO:0006424	soft tissue neoplasm	Orphanet:477742	None	MONDO:0006209	fibroblastic neoplasm	NCIT:C3827	None
MONDO:0004187	nodular fasciitis	MONDO:0006424	soft tissue neoplasm	Orphanet:477742	None	MONDO:0006209	fibroblastic neoplasm	NCIT:C3827/inferred	None
MONDO:0004351	intraocular lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:279904	None	MONDO:0004034	eye lymphoma	DOID:775	None
MONDO:0004351	intraocular lymphoma	MONDO:0017207	primary organ-specific lymphoma	Orphanet:279904	None	MONDO:0004034	eye lymphoma	NCIT:C9184	None
MONDO:0004653	atypical chronic myeloid leukemia, BCR-ABL1 negative	MONDO:0020077	myelodysplastic/myeloproliferative disease	Orphanet:98824	None	MONDO:0004643	myeloid leukemia	DOID:8747	None
MONDO:0004653	atypical chronic myeloid leukemia, BCR-ABL1 negative	MONDO:0020077	myelodysplastic/myeloproliferative disease	Orphanet:98824	None	MONDO:0006311	myelodysplastic/myeloproliferative neoplasm	DOID:0060597	None
MONDO:0004653	atypical chronic myeloid leukemia, BCR-ABL1 negative	MONDO:0020077	myelodysplastic/myeloproliferative disease	Orphanet:98824	None	MONDO:0006311	myelodysplastic/myeloproliferative neoplasm	NCIT:C3519	None
MONDO:0004739	urea cycle disorder	MONDO:0019189	inborn disorder of amino acid and other organic acid metabolism	Orphanet:79167	None	MONDO:0004736	inborn disorder of amino acid metabolism	DOID:9267	None
MONDO:0004739	urea cycle disorder	MONDO:0019189	inborn disorder of amino acid and other organic acid metabolism	Orphanet:79167	None	MONDO:0004736	inborn disorder of amino acid metabolism	MESH:D056806	None
